Pode poder
investigar investigar
que que
, ,
se se
bobear bobear
, ,
o o
pai pai
bolsonarista bolsonarista
do de_o
assassino assassino
que que
entrou entrar
atirando atirar
nas em_o
escolas escola
está estar
por por
trás trás
do de_o
crime crime
! !
Muito muito
suspeito suspeitar
a o
maneira maneira
como como
o o
moleque moleque
teve ter
acesso acesso
às a_o
armas arma
, ,
ao a_o
colete colete
e e
ao a_o
carro carro
dos de_o
pais pai
. .
Lembrando lembrar
que que
o o
vagabundo vagabundo
é ser
policial policial
e e
adorador adorador
de de
Hittler hittler
! !
thumbs_up_e thumbs_up_e
