Hoje hoje
estarei estar
no em_o
ato ato
na em_o
ABI abi
em em
solidariedade solidariedade
a a
@ggreenwald twitterhandle
e e
em em
defesa defesa
da de_o
liberdade liberdade
de de
imprensa imprensa
e e
da de_o
Constituição constituição
brasileira brasileiro
. .
A o
criminalização criminalização
, ,
ameaças ameaça
e e
tentativas tentativa
de de
intimidação intimidação
de de
jornalistas jornalista
pelo por_o
governo governo
Bolsonaro bolsonaro
é ser
um um
ataque ataque
à a_o
democracia democracia
. .
HASHTAG hashtag
#imprensalivre_h #imprensalivre_h
HASHTAG hashtag
#liberdadedeimprensa_h #liberdadedeimprensa_h
