Em em
2019 @card@
Bolsonaro bolsonaro
voltou voltar
de de
viagem viagem
aos a_o
EUA eua
e e
disse dizer
que que
houve haver
fraude fraude
nas em_o
eleições eleição
e e
que que
tinha ter
vencido vencer
no em_o
primeiro primeiro
turno turno
. .
Se se
cassarem cassarem
a o
Kokay kokay
pelo por_o
tweet tweet
dela de_ela
vão ir
cassar cassar
o o
PR pr
também também
. .
Deixem deixar
eles eles
falarem falar
! !
Lutem lutar
por por
liberdade liberdade
, ,
inclusive inclusive
pelo por_o
direito direito
de de
falar falar
bobagem bobagem
dos de_o
petista petista
. .
