@folha twitterhandle
Enquanto enquanto
o o
povo povo
disputa disputar
ossos osso
. .
VIDA vida
BOA boa
pra pra
Bolsonaro bolsonaro
. .
Gastos gasto
com com
cartão cartão
corporativo corporativo
já já
chegam chegar
a a
R$ r$
50 50
milhões milhão
em em
seu seu
governo governo
Modalidade modalidade
de de
pagamento pagamento
foi ser
usada usar
principalmente principalmente
para para
custear custear
as o
viagens viagem
do de_o
presidente presidente
, ,
de de
sua seu
família família
e e
dos de_o
segurança segurança
, ,
e e
pro pro
LUXO luxo
