@RhangelRibeiro twitterhandle_NOUN_Masc_Sing
@folha twitterhandle_VERB_Fin_Sing
Kkkkkkkk kkkkkkkk_PROPN_Masc_Sing
solta soltar_VERB_Fin_Sing
o o_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
ruas rua_NOUN_Fem_Plur
, ,
filho filho_NOUN_Masc_Sing
urna urna_NOUN_Fem_Sing
fraudada fraudar_VERB_Part_Fem_Sing
não não_ADV
compra comprar_VERB_Fin_Sing
popularidade popularidade_NOUN_Fem_Sing
, ,
o o_DET_Masc_Sing
Lule lule_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
odiado odiar_VERB_Part_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
maior grande_ADJ_Fem_Sing
parte parte_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
e e_CCONJ
presidente presidente_NOUN_Masc_Sing
sem sem_ADP
povo povo_NOUN_Masc_Sing
não não_ADV
se se_PRON
mantém manter_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
cargo cargo_NOUN_Masc_Sing
, ,
junho junho_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
chegando chegar_VERB_Ger
… …
kkkkkkkkkkk kkkkkkkkkkk_NOUN_Masc_Sing
temporada temporada_NOUN_Fem_Sing
chuchu chuchu_NOUN_Masc_Sing
chegando chegar_VERB_Ger
kkkkkkk kkkkkkk_NOUN_Masc_Sing
