@TheAtlantic twitterhandle
Nesse em_esse
primeiro primeiro
encontro encontro
, ,
Olavo olavo
falou falar
mal mal
de de
jornalistas jornalista
como como
de de
costume costume
, ,
mas mas
foi ser
educado educar
. .
Me eu
mostrou mostrar
sua seu
coleção coleção
de de
armas arma
, ,
contou contar
histórias história
e e
definiu definir
o o
governo governo
Bolsonaro bolsonaro
como como
uma um
" "
ejaculação ejaculação
precoce precoce
" "
, ,
por por
ter ter
sido ser
eleito eleger
antes antes
de de
vencer vencer
a o
" "
guerra guerra
cultural cultural
contra contra
a o
esquerda esquerda
" "
( (
3 3
/ /
16 16
) )
