@Douglasadrian17 twitterhandle_NOUN_Masc_Sing
Simmm simmm_VERB_Fin_Plur
, ,
eu eu_PRON_Sing
também também_ADV
, ,
mesmo mesmo_ADV
meu meu_DET_Masc_Sing
pai pai_NOUN_Masc_Sing
tendo ter_VERB_Ger
arma arma_NOUN_Fem_Sing
eu eu_PRON_Masc_Sing
sou ser_AUX_Fin_Sing
contra contra_ADP
. .
O o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
fala falar_VERB_Fin_Sing
 "  "
só só_ADV
para para_ADP
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_NOUN_Masc_Sing
 "  "
mais mais_ADV
quem quem_PRON_Rel_Sing
q q_NOUN_Masc_Sing
vai ir_VERB_Fin_Sing
fica ficar_AUX_Fin_Sing
investigando investigar_VERB_Ger
a o_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
de de_ADP
cada cada_DET_Masc_Sing
um um_PROPN_Masc_Sing
pra pra_ADP
ver ver_VERB_Inf
quem quem_PRON_Int
q q_NOUN_Masc_Sing
eh eh_ADJ_Masc_Sing
de de_ADP
boa bom_ADJ_Fem_Sing
e e_CCONJ
quem quem_PRON_Int_Sing
q q_NOUN_Masc_Sing
n n_NOUN_Masc_Sing
eh eh_ADJ_Masc_Sing
