Lá lá
em em
2018 @card@
, ,
toda todo
vez vez
que que
eu eu
falava falar
que que
Bolsonaro bolsonaro
seria ser
a o
ruína ruína
do de_o
Brasil brasil
, ,
era ser
chamada chamar
de de
exagerada exagerado
, ,
doida doido
. .
Hoje hoje
as o
mesmas mesmo
pessoas pessoa
que que
me eu
chamavam chamar
de de
louca louco
falam falar
" "
meu meu
deus deus
, ,
o o
país país
está estar
na em_o
merda merda
! !
! !
" "
Sério sério
, ,
que que
baita baita
VONTADE vontade
arrastar arrastar
a o
cara cara
da de_o
pessoa pessoa
no em_o
ASFALTO asfalto
