BOLSONARO bolsonaro
se se
esforçou esforçar
, ,
ainda ainda
em em
recuperação recuperação
pra pra
formar formar
os o
ministérios ministério
! !
Os o
Minstérios minstérios
estão estar
se se
esforçando esforçar
pra pra
não não
fazer fazer
besteira besteira
? ?
Quando quando
a o
esquerda esquerda
' '
' '
no em_o
poder poder
' '
' '
, ,
deu dar
voz voz
a o
direita direita
conservadora conservador
oposta oposto
? ?
Se se
levar levar
esse esse
caso caso
como como
jogo jogo
de de
cumpadre cumpadre
, ,
FERROU ferrar
! !
