Bolsonaro bolsonaro
chama chamar
ministro ministro
do de_o
STF stf
de de
imbecil imbecil
, ,
político político
opositor opositor
de de
ladrão ladrão
, ,
vagabundo vagabundo
, ,
calcinha calcinha
apertada apertar
, ,
idiota idiota
e e
nada nada
acontece acontecer
. .
Mas mas
uma um
pessoa pessoa
de de
dentro dentro
do de_o
carro carro
" "
ousou ousar
" "
xingar xingar
o o
presidente presidente
totalmente totalmente
cercado cercar
por por
policiais policial
e e
a o
pessoa pessoa
foi ser
detida deter
. .
É ser
um um
HASHTAG hashtag
#bolsonarochiliquento_h #bolsonarochiliquento_h
mesmo mesmo
! !
