Primeiro primeiro
general general
a a
ser ser
defenestrado defenestrar
do de_o
governo governo
, ,
Santos santos
Cruz cruz
reagiu reagir
à a_o
inédita inédito
demissão demissão
dos de_o
três três
comandantes comandante
acusando acusar
Bolsonaro bolsonaro
de de
querer querer
transformar transformar
as o
Forças forças
Armadas armadas
em em
instrumento instrumento
de de
intimidação intimidação
política político
. .
Entrevista entrevista
de de
hoje hoje
à a_o
tarde tarde
com com
o o
general general
: :
backhand_index_pointing_down_e backhand_index_pointing_down_e
