Absurdo absurdo_ADJ_Masc_Sing
! !
Sob sob_ADP
a o_DET_Fem_Sing
gestão gestão_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
famílias família_NOUN_Fem_Plur
em em_ADP
situação situação_NOUN_Fem_Sing
de de_ADP
vulnerabilidade vulnerabilidade_NOUN_Fem_Sing
foram ser_AUX_Fin_Plur
enganadas enganar_VERB_Part_Fem_Plur
e e_CCONJ
obrigadas obrigar_VERB_Part_Fem_Plur
a a_ADP
pagar pagar_VERB_Inf
pelas por_o_ADP_DET_Fem_Plur
cisternas cisterna_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Programa programa_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
antigo antigo_ADJ_Masc_Sing
Governo governo_NOUN_Masc_Sing
. .
O o_DET_Masc_Sing
contrato contrato_NOUN_Masc_Sing
era ser_AUX_Fin_Sing
de de_ADP
R$ r$
15 15_NUM
milhões milhão_NOUN_Masc_Plur
, ,
mas mas_CCONJ
muitas muito_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
pagaram pagar_VERB_Fin_Plur
pelos por_o_ADP_DET_Masc_Plur
reservatórios reservatório_NOUN_Masc_Plur
, ,
que que_PRON_Rel_Masc_Plur
deveriam dever_AUX_Fin_Plur
ser ser_AUX_Inf
gratuitos gratuito_ADJ_Masc_Plur
. .
+ +
