O o
capitão capitão
não não
precisa precisar
de de
ministério ministério
das de_o
mulheres mulher
ou ou
dos de_o
direitos direito
humanos humano
. .
Isso isso
não não
tem ter
cara cara
de de
Jair jair
Bolsonaro bolsonaro
. .
Não não
tem ter
cara cara
de de
ser ser
pauta pauta
um um
governo governo
conservador conservador
, ,
de de
direita direita
. .
Não não
tem ter
pra pra
quê quê
ministério ministério
das de_o
mulheres mulher
, ,
dos de_o
homens homem
, ,
ou ou
das de_o
cores cor
de de
pele pele
. .
