@jairbolsonaro twitterhandle
Deus deus
te tu
abençoe abençoar
, ,
Jair jair
. .
Seja ser
bem bem
vindo vir
de de
volta volta
ao a_o
lar lar
da de_o
sua seu
terceira terceiro
esposa esposo
, ,
mãe mãe
da de_o
sua seu
filha filha
, ,
madrasta madrasta
dos de_o
outros outro
filhos filho
que que
você você
teve ter
com com
outras outro
esposas esposo
que que
envelheceram envelhecer
e e
foram ser
trocadas trocar
. .
Glória glória
a a
Deus deus
, ,
viva viver
a o
família família
tradicional tradicional
brasileira brasileiro
. .
AMÉM amém
, ,
irmão irmão
. .
