@MathSaccomam twitterhandle
Amor amor
. .
. .
. .
até até
poucos pouco
meses mês
atrás atrás
eu eu
não não
sabia saber
nem nem
que que
que que
significava significar
comunista comunista
. .
. .
. .
não não
enche encher
o o
saco saco
não não
. .
. .
eu eu
não não
sou ser
nem nem
comunista comunista
nem nem
direita direito
nem nem
esquerda esquerdo
nem nem
central central
nem nem
de de
quadro quadro
nem nem
de de
lado lado
nem nem
de de
frente frente
. .
Eu eu
sou ser
anti anti
palhaçada palhaçada
, ,
babaquice babaquice
e e
coisa coisa
ruim ruim
. .
Boa bom
noite noite
