@_Janoninho twitterhandle
Cria criar
vergonha vergonha
nessa em_esse
sua seu
cara cara
. .
. .
não não
usa usar
nome nome
de de
Deus deus
em em
vão vão
. .
. .
vc vc
é ser
uma um
vergonha vergonha
pra pra
nossa nosso
sociedade sociedade
seu seu
corrupto corrupto
da de_o
fé fé
das de_o
pessoas pessoa
Só só
passa passar
pra para_o
história história
aquele aquele
Qoe qoe
é ser
digno digno
de de
amor amor
ao a_o
próximo próximo
seu seu
Bolsonaro bolsonaro
não não
é ser
essa esse
dádiva dádiva
. .
Vc vc
é ser
uma um
vergonha vergonha
para para
povo povo
evangélico evangélico
