@AndreJanonesAdv twitterhandle_ADJ_Masc_Plur
@camaradeputados twitterhandle_VERB_Part_Masc_Plur
@marcospereira04 twitterhandle_NOUN_Masc_Sing
Por por_ADP
favor favor_NOUN
, ,
paute pautar_VERB_Fin_Sing
a o_DET_Fem_Sing
MP mp_PROPN_Fem_Sing
1000 1000_NUM
hoje hoje_ADV
para para_ADP
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
volte voltar_AUX_Fin_Sing
a a_ADP
ser ser_AUX_Inf
600 600_NUM
reais real_ADJ_Masc_Plur
e e_CCONJ
as o_DET_Fem_Plur
pessoas pessoa_NOUN_Fem_Plur
possam poder_AUX_Fin_Plur
ter ter_VERB_Inf
um um_DET_Masc_Sing
pouco pouco_NOUN_Masc_Sing
de de_ADP
dignidade dignidade_NOUN_Fem_Sing
. .
Tem ter_VERB_Fin_Sing
famílias família_NOUN_Fem_Plur
passando passar_VERB_Ger
necessidade necessidade_NOUN_Fem_Sing
! !
Não não_ADV
podemos poder_AUX_Fin_Plur
ser ser_AUX_Inf
vítimas vítima_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
insensibilidade insensibilidade_NOUN_Fem_Sing
de de_ADP
um um_DET_Masc_Sing
só só_ADJ_Masc_Sing
homem homem_NOUN_Masc_Sing
: :
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#pauta600já_h #pauta600já_h
