Bolsonaro bolsonaro
disse dizer
que que
as o
Forças forças
Armadas armadas
e e
outras outro
instituições instituição
fardadas fardar
irão ir
participar participar
de de
ato ato
eleitoral eleitoral
no em_o
7 7
de de
setembro setembro
, ,
algo algo
vedado vedar
pela por_o
Constituição constituição
. .
Pergunto perguntar
ao a_o
@TSEjusbr twitterhandle
: :
se se
esses esse
militares militar
efetivarem efetivar
o o
crime crime
, ,
qual qual
força força
seria ser
escolhida escolher
pra pra
prendê prendê
-los eles
? ?
HASHTAG hashtag
#bolsonaronacadeia_h #bolsonaronacadeia_h
