@RitaLisauskas twitterhandle
Qual qual
a o
diferença diferença
entre entre
posse posse
e e
porte porte
de de
arma arma
de de
fogo fogo
? ?
A o
POSSE posse
consiste consistir
em em
manter manter
no em_o
interior interior
de de
residência residência
ou ou
no em_o
local local
de de
trabalho trabalho
a o
arma arma
de de
fogo fogo
. .
O o
PORTE porte
por por
sua seu
vez vez
, ,
pressupõe pressupor
que que
a o
arma arma
de de
fogo fogo
esteja estar
fora fora
da de_o
residência residência
ou ou
local local
de de
trabalho trabalho
. .
Bolsonaro bolsonaro
disse dizer
POSSE possar
entendeu entender
? ?
? ?
? ?
