@jairbolsonaro twitterhandle
Não não
consigo conseguir
aceitar aceitar
esse esse
resultado resultado
, ,
esse esse
bandido bandido
não não
me eu
representa representar
, ,
não não
representa representar
minha meu
família família
, ,
que que
Deus deus
cuide cuidar
do de_o
sr sr
. .
e e
da de_o
sua seu
família família
, ,
que que
cuide cuidar
do de_o
nosso nosso
Brasil brasil
! !
Obrigada obrigado
Bolsonaro bolsonaro
por por
tudo tudo
que que
fez fazer
pelo por_o
nosso nosso
país país
, ,
continuaremos continuar
lutando lutar
pelo por_o
bem bem
do de_o
nosso nosso
país país
! !
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
folded_hands_e folded_hands_e
