@brauneoficial twitterhandle
HASHTAG hashtag
#impeachmentdebolsonaro_h #impeachmentdebolsonaro_h
HASHTAG hashtag
#bolsonarogenocida_h #bolsonarogenocida_h
HASHTAG hashtag
#quemmandoumatarmarielle_h #quemmandoumatarmarielle_h
? ?
HASHTAG hashtag
#bolsonaroassassino_h #bolsonaroassassino_h
Bolsonaro bolsonaro
disse dizer
que que
17 17
mil mil
mortes morte
é ser
pouco pouco
, ,
Bolsonaro bolsonaro
quer querer
38 38
mil mil
mortes morte
antes antes
de de
terminar terminar
maio maio
, ,
disse dizer
que que
morrer morrer
de de
corona corona
vírus vírus
tá estar
enchendo encher
o o
saco saco
, ,
logo logo
quer querer
a o
diferença diferença
morrendo morrer
de de
infarto infarto
