Bolsonaristas bolsonaristas
ativaram ativar
os o
seus seu
robôs robô
e e
perfis perfil
fakes fakes
para para
criar criar
a o
falsa falso
sensação sensação
de de
que que
a o
sociedade sociedade
é ser
contra contra
o o
PL pl
2630 @card@
, ,
que que
visa visar
combater combater
discurso discurso
de de
ódio ódio
, ,
violência violência
e e
fake fake
news news
na em_o
Internet internet
. .
Mentira mentira
! !
As o
famílias família
brasileiras brasileiro
querem querer
paz paz
e e
sabem saber
que que
é ser
preciso preciso
impedir impedir
que que
as o
redes rede
… …
