RT rt_NOUN_Masc_Sing
@ptbrasil twitterhandle_ADJ_Masc_Sing
: :
Fome fome_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
! !
loudspeaker_e loudspeaker_e
25 25_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
recebiam receber_VERB_Fin_Plur
o o_DET_Masc_Sing
Bolsa bolsa_PROPN_Fem_Sing
Família família_PROPN_Sing
ou ou_CCONJ
o o_DET_Masc_Sing
Auxílio auxílio_PROPN_Masc_Sing
Emergencial emergencial_PROPN_Sing
foram ser_AUX_Fin_Plur
abandonadas abandonar_VERB_Part_Fem_Plur
por por_ADP
Bolson bolson_PROPN_Masc_Sing
… …
