AO a_o
VIVO vivo
: :
Ao ao
ser ser
questionado questionar
sobre sobre
se se
existirá existir
limite limite
de de
liberdade liberdade
de de
expressão expressão
em em
seu seu
governo governo
, ,
@jairbolsonaro twitterhandle
garante garantir
que que
, ,
" "
quem quem
vai ir
impor impor
o o
limite limite
é ser
o o
leitor leitor
" "
e e
não não
o o
governo governo
. .
Bolsonaro bolsonaro
também também
diz dizer
que que
o o
brasileiro brasileiro
já já
está estar
dando dar
respostas resposta
as o
mídias mídia
' '
fake fake
news news
' '
. .
HASHTAG hashtag
#bolsonaronarecord_h #bolsonaronarecord_h
