Bolsonaro bolsonaro
está estar
desidratando desidratar
o o
Bolsa bolsa
Família família
e e
se se
nega negar
a a
disponibilizar disponibilizar
dados dado
atualizados atualizar
do de_o
programa programa
. .
O o
alvo alvo
desse de_esse
desgoverno desgoverno
covarde covarde
sempre sempre
foi ser
e e
sempre sempre
será ser
o o
povo povo
mais mais
pobre pobre
! !
Isso isso
é ser
não não
reconhecer reconhecer
a o
necessidade necessidade
do de_o
combate combate
à a_o
miséria miséria
no em_o
país país
. .
Até até
quando quando
? ?
