Olha olhar
o o
flagrante flagrante
em em
andamento andamento
no em_o
nordeste nordeste
, ,
alguém alguém
chame chamar
a o
polícia polícia
o o
crime crime
esta este
em em
curso curso
. .
Que que
maldade maldade
meu meu
Deus deus
, ,
como como
isto isto
é ser
aceitável aceitável
não não
dá dar
, ,
negar negar
água água
para para
o o
povo povo
um um
crime crime
contra contra
a o
dignidade dignidade
da de_o
pessoa pessoa
humana humano
, ,
estava estar
tudo tudo
funcionando funcionar
água água
fluindo fluir
no em_o
Gov gov
. .
Bolsonaro bolsonaro
. .
