Chefes chefe
das de_o
três três
forças força
armadas armar
entregam entregar
seus seu
cargos cargo
, ,
ineditamente ineditamente
de de
forma forma
simultânea simultâneo
, ,
numa em_um
nítida nítido
reprovação reprovação
às a_o
insistentes insistente
tentativas tentativa
de de
Bolsonaro bolsonaro
manipular manipular
as o
instituições instituição
contra contra
a o
democracia democracia
HASHTAG hashtag
#impeachmentdebolsonarourgente_h #impeachmentdebolsonarourgente_h
HASHTAG hashtag
#pldogolpenao_h #pldogolpenao_h
