É ser
difícil difícil
de de
entender entender
quando quando
se se
diz dizer
que que
Bolsonaro bolsonaro
" "
aprovou aprovar
com com
vetos veto
" "
alguma algum
lei lei
. .
De de
forma forma
simplificada simplificar
, ,
os o
vetos veto
do de_o
Auxílio auxílio
Brasil brasil
permitem permitir
que que
ele ele
NÃO não
PAGUE pagar
o o
benefício benefício
para para
TODAS todo
as o
famílias família
que que
se se
encaixam encaixar
nos em_o
critérios critério
de de
pobreza pobreza
e e
extrema extremo
pobreza pobreza
. .
Vai ir
sobrar sobrar
gente gente
na em_o
fila fila
. .
