@RachelSherazade twitterhandle
SE se
ENXERGA enxergar
, ,
MULHER mulher
! !
Você você
fazia fazer
discursob discursob
racista racista
, ,
conservador conservador
, ,
e e
protofascista protofascista
em em
rede rede
nacional nacional
muito muito
antes antes
de de
Bolsonaro bolsonaro
. .
A o
gênese gênese
do de_o
Bolsonarismo bolsonarismo
estava estar
em em
você você
e e
sempre sempre
esteve estar
na em_o
direita direita
liberal liberal
e e
conservadora conservador
brasileira brasileiro
, ,
quem quem
não não
te tu
conhece conhecer
que que
te tu
compra compra
. .
