Moro moro
deixou deixar
o o
Governo governo
alegando alegar
INTERFERÊNCIAS interferência
de de
Bolsonaro bolsonaro
para para
proteger proteger
o o
filho filho
; ;
Mandeta mandeta
saiu sair
alegando alegar
INTERFERÊNCIAS interferência
indevidas indevido
no em_o
ministério ministério
; ;
Comandantes comandante
das de_o
Forças forças
Armadas armadas
saíram sair
em em
protesto protesto
contra contra
INTERFERÊNCIAS interferência
do de_o
Presidente presidente
. .
Mas mas
não não
, ,
Bolsonaro bolsonaro
é ser
o o
" "
perseguido perseguido
" "
. .
. .
. .
