Pq pq_PROPN_Masc_Sing
ninguém ninguém_PRON_Masc_Sing
parece parecer_AUX_Fin_Sing
ter ter_AUX_Inf
se se_PRON_Fem_Sing
tocado tocar_VERB_Part_Masc_Sing
ainda ainda_ADV
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
valāo valāo_NOUN_Masc_Sing
de de_ADP
Perus perus_PROPN_Masc_Sing
era ser_AUX_Fin_Sing
onde onde_ADV
militares militar_ADJ_Fem_Plur
escondiam esconder_VERB_Fin_Plur
corpos corpo_NOUN_Masc_Plur
à a_o_ADP_DET_Fem_Sing
la la_DET_Fem_Sing
regime regime_NOUN_Masc_Sing
nazista nazista_ADJ_Masc_Sing
? ?
E e_CCONJ
pq pq_VERB_Fin_Sing
ninguém ninguém_PRON_Masc_Sing
fala falar_VERB_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
contra contra_ADP
a o_DET_Fem_Sing
identificação identificação_NOUN_Fem_Sing
de de_ADP
ossadas ossada_NOUN_Fem_Plur
assim assim_ADV
, ,
como como_ADV
se se_SCONJ
não não_ADV
importasse importar_VERB_Fin_Sing
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
saber saber_VERB_Inf_Sing
de de_ADP
seus seu_DET_Masc_Plur
desaparecidos desaparecido_NOUN_Masc_Plur
? ?
HASHTAG hashtag_PROPN_Masc_Sing
#bolsonaro2018_h #bolsonaro2018_h
