Bolsonaro bolsonaro
foi ser
eleito eleger
presidente presidente
. .
Mas mas
não não
imperador imperador
. .
Não não
pode poder
passar passar
por por
cima cima
dos de_o
valores valor
democráticos democrático
, ,
da de_o
liberdade liberdade
de de
manifestação manifestação
e e
expressão expressão
. .
Precisa precisar
respeitar respeitar
a o
oposição oposição
e e
os o
movimentos movimento
sociais social
. .
Por por
isso isso
estaremos estar
nas em_o
ruas rua
, ,
pelas por_o
liberdades liberdade
democráticas democrático
e e
por por
nossos nosso
direitos direito
. .
