@jpcharleaux twitterhandle_NOUN_Masc_Sing
Vcs vcs_PROPN_Masc_Sing
podem poder_AUX_Fin_Plur
postarem postar_VERB_Fin_Plur
o o_DET_Masc_Sing
q q_NOUN_Masc_Sing
quiserem querer_VERB_Fin_Plur
ok ok_NOUN_Masc_Sing
, ,
os o_DET_Masc_Plur
petistas petista_ADJ_Masc_Plur
sempre sempre_ADV
falam falar_VERB_Fin_Plur
mentiras mentira_NOUN_Fem_Plur
ok ok_ADJ_Fem_Plur
, ,
a o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
está estar_AUX_Fin_Sing
com com_ADP
população população_NOUN_Fem_Sing
e e_CCONJ
por por_ADP
isso isso_PRON_Masc_Sing
q q_NOUN_Masc_Sing
elegeram eleger_VERB_Fin_Plur
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
ok ok_PROPN_Sing
, ,
Deus deus_PROPN_Masc_Sing
sabe saber_VERB_Fin_Sing
por por_ADP
q q_NOUN_Masc_Sing
os o_DET_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
e e_CCONJ
corruptos corrupto_ADJ_Masc_Plur
tem ter_VERB_Fin_Sing
muito muito_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
esperem esperar_VERB_Fin_Plur
q q_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
vai ir_AUX_Fin_Sing
mostrar mostrar_VERB_Inf
pra pra_ADP
vcs vcs_NOUN_Masc_Plur
, ,
como como_ADV
se se_PRON
trabalha trabalhar_VERB_Fin_Sing
numa em_um_ADP_DET_Fem_Sing
nação nação_NOUN_Fem_Sing
ok ok_NOUN_Masc_Sing
. .
