Depois depois
de de
toda todo
luta luta
das de_o
e e
dos de_o
parlamentares parlamentar
p p
/ /
aprovar aprovar
o o
PL pl
q q
prioriza prioriza
mães mãe
chefes chefe
de de
família família
p p
/ /
o o
recebimento recebimento
dos de_o
R$1200 r$1200
do de_o
auxílio auxílio
emergencial emergencial
, ,
Bolsonaro bolsonaro
veta vetar
o o
PL pl
, ,
deixando deixar
+ +
desamparadas desamparar
as o
mães mãe
e e
crianças criança
q q
já já
estavam estar
em em
situação situação
de de
vulnerabilidade vulnerabilidade
. .
