Bolsonaro bolsonaro
diz dizer
que que
Forças forças
Armadas armadas
participarão participar
de de
ato ato
pró-governo pró-governo
de de
7 7
de de
setembro setembro
Durante durante
discurso discurso
em em
convenção convenção
de de
Tarcísio tarcísio
de de
Freitas freitas
, ,
o o
chefe chefe
do de_o
Executivo executivo
ainda ainda
defendeu defender
que que
o o
seu seu
governo governo
não não
teve ter
casos caso
de de
corrupção corrupção
orgânica orgânico
30 30
. .
07 @card@
. .
2022 @card@
14H30 14h30
