Perdeu perder
a o
visão visão
por por
sucessivas sucessivo
sessões sessão
de de
tortura tortura
! !
E e
tudo tudo
porque porque
um um
pastor pastor
, ,
que que
será ser
ministro ministro
integrante integrante
do de_o
time time
" "
salvador salvador
da de_o
pátria pátria
" "
de de
Bolsonaro bolsonaro
, ,
o o
denunciou denunciar
sem sem
provas prova
, ,
em em
base base
a o
pura puro
calúnias calúnia
: :
Magno magno
Malta malta
. .
Como como
se se
fosse ser
pouco pouco
, ,
ele ele
e e
a o
esposa esposo
estão estar
sem sem
a o
guarda guarda
do de_o
filho filho
. .
Nojo nojo
! !
