Bolsonaro bolsonaro_NOUN_Masc_Sing
sobre sobre_ADP
Haddad haddad_PROPN_Masc_Sing
: :
 "  "
Nunca nunca_ADV
conversei conversar_VERB_Fin_Sing
com com_ADP
ele ele_PRON_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
comunista comunista_NOUN_Masc_Sing
. .
É ser_AUX_Fin_Sing
um um_DET_Masc_Sing
homem homem_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
adora adorar_VERB_Fin_Sing
a o_DET_Fem_Sing
política política_NOUN_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
e e_CCONJ
a o_DET_Fem_Sing
cubana cubano_ADJ_Fem_Sing
. .
É ser_AUX_Fin_Sing
um um_DET_Masc_Sing
homem homem_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
se se_PRON
consulta consultar_VERB_Fin_Sing
com com_ADP
presidiário presidiário_NOUN_Masc_Sing
para para_ADP
tomar tomar_VERB_Inf
decisões decisão_NOUN_Fem_Plur
. .
Ele ele_PRON_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
dono dono_NOUN_Masc_Sing
dele de_ele_ADP_PRON_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
poste poste_NOUN_Masc_Sing
, ,
um um_DET_Masc_Sing
pau pau_NOUN_Masc_Sing
mandado mandar_VERB_Part_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
. .
 "  "
