@augustodeAB twitterhandle
Esse esse
Bolsonaro bolsonaro
é ser
a o
pior mau
desgraça desgraça
que que
se se
abateu abater
nesse em_esse
país país
! !
Corrupto corrupto
com com
discurso discurso
moralista moralista
, ,
trocentos trocentos
casamento casamento
, ,
péssimo mal
pai pai
com com
discurso discurso
de de
defesa defesa
da de_o
família família
, ,
usa usar
o o
nome nome
de de
Deus deus
a a
torto torto
e e
a a
direito direito
e e
só só
sabe saber
pregar pregar
mortes morte
e e
tortura tortura
, ,
miliciano miliciano
com com
discurso discurso
de de
defensor defensor
da de_o
policia policiar
! !
