@CarlaZambelli38 twitterhandle
O o
povo povo
está estar
sendo ser
torturado torturar
por por
este este
governo governo
desastroso desastroso
e e
infame infame
. .
Fome fome
Desemprego desemprego
Zero zero
aumento aumento
do de_o
salário salário
mínimo pequeno
Cancelamento cancelamento
do de_o
aux aux
. .
emergencial emergencial
Filho filho
ladrão ladrão
Alta alta
do de_o
dólar dólar
Alta alta
da de_o
inflação inflação
Falta faltar
de de
vacina vacina
Isto isto
é ser
tortura tortura
real real
que que
sentirmos sentir
na em_o
pele pele
. .
