@ReinaldoBadiali twitterhandle
A o
esquerda esquerda
será ser
eliminada eliminar
, ,
sim sim
, ,
mas mas
não não
no em_o
sentido sentido
agressivo agressivo
e e
violento violento
que que
você você
pensa pensar
. .
O o
governo governo
Bolsonaro bolsonaro
será ser
de de
reforma reforma
moral moral
e e
ideológica ideológico
. .
A o
esquerda esquerda
não não
mais mais
terá ter
espaço espaço
quando quando
a o
população população
brasileira brasileiro
se se
reconhecer reconhecer
como como
conservadora conservador
. .
Temos ter
que que
despertar despertar
essa esse
consciência consciência
dela de_ela
