Aí aí
@jairbolsonaro twitterhandle
vc vc
irá ir
fazer fazer
o o
que que
AGORA agora
. .
Por por
isso isso
falando falar
com com
meus meu
amigos amigo
antes antes
de de
vc vc
escolhe escolher
o o
Sérgio sérgio
DESARMAMENTISTA desarmamentista
Moro moro
para para
Ministro ministro
, ,
meus meu
amigos amigo
e e
eu eu
estava estar
pensando pensar
em em
um um
Ministro ministro
100 100
% %
para para
calar calar
o o
@STF_oficial twitterhandle
CORRUPTO corrupto
e e
NÃO não
, ,
um um
ATIVISTA ativista
50 50
% %
. .
