@malugaspar twitterhandle_VERB_Fin_Sing
: :
Anderson anderson_PROPN_Masc_Sing
Torres torres_PROPN_Sing
e e_CCONJ
Silvinei silvinei_PROPN_Masc_Sing
Vasques vasques_PROPN_Sing
agiram agir_VERB_Fin_Plur
exatamente exatamente_ADV
como como_ADV
suspeitávamos suspeitar_VERB_Fin_Plur
: :
p p_NOUN_Masc_Plur
/ /
atrapalhar atrapalhar_VERB_Inf
o o_DET_Masc_Sing
resultado resultado_NOUN_Masc_Sing
eleitoral eleitoral_ADJ_Masc_Sing
de de_ADP
@LulaOficial twitterhandle_NOUN_Masc_Sing
A a_ADP
mando mando_NOUN_Masc_Sing
e e_CCONJ
a a_ADP
serviço serviço_NOUN_Masc_Sing
de de_ADP
quem quem_PRON_Rel_Sing
, ,
já já_ADV
sabemos saber_VERB_Fin_Plur
. .
Família família_NOUN_Fem_Sing
Biroleibe biroleibe_PROPN_Fem_Sing
e e_CCONJ
generais general_NOUN_Masc_Plur
tão tão_ADV
juntos junto_ADJ_Masc_Plur
nessa em_esse_ADP_DET_Fem_Sing
. .
Esses esse_DET_Masc_Plur
2 2_NUM
otários otário_NOUN_Masc_Plur
vão ir_AUX_Fin_Plur
pagar pagar_VERB_Inf
o o_DET_Masc_Sing
pato pato_NOUN_Masc_Sing
sozinhos só_ADJ_Masc_Plur
? ?
+ +
