HASHTAG hashtag
#votobolsonaro17_h #votobolsonaro17_h
" "
E e
ainda ainda
há haver
quem quem
diga dizer
que que
Bolsonaro bolsonaro
nada nada
fez fazer
em em
30 30
anos ano
de de
vida vida
política político
. .
Só só
isso isso
de de
ter ter
sido ser
voz voz
sozinha só
na em_o
defesa defesa
das de_o
crianças criança
e e
da de_o
família família
, ,
enquanto enquanto
é ser
chamado chamar
de de
louco louco
e e
de de
homofóbico homofóbico
, ,
já já
valeria valer
pela por_o
vida vida
inteira inteiro
. .
" "
- -
@Teodorico1967 twitterhandle
