Pq pq
Bolsonaro bolsonaro
não não
visitará visitar
o o
Líbano líbano
na em_o
viagem viagem
ao a_o
Oriente oriente
Médio médio
? ?
Há haver
milhões milhão
de de
descendentes descendente
de de
libaneses libanês
no em_o
Brasil brasil
. .
Além além
disso de_isso
, ,
é ser
o o
único único
país país
presidido presidir
por por
cristão cristão
na em_o
região região
e e
onde onde
há haver
a o
maior grande
parcela parcela
de de
cristãos cristão
( (
40 40
% %
) )
e e
o o
maior grande
número número
de de
igrejas igreja
e e
denominações denominação
cristãs cristão
