Geral geral
postando postar
foto foto
do de_o
Bolsonaro bolsonaro
levando levar
facada facada
dizendo dizer
que que
é ser
spoiler spoiler
de de
GOT got
. .
Lindo lindo
quando quando
a o
esquerda esquerda
descobre descobrir
que que
o o
humor humor
e e
a o
liberdade liberdade
de de
expressão expressão
não não
devem dever
ter ter
limites limite
. .
Agora agora
experimenta experimentar
postar postar
meme meme
da de_o
Marielle marielle
pra pra
ver ver
se se
a o
patrulha patrulha
do de_o
politicamente politicamente
correto correto
não não
cai cair
em em
cima cima
? ?
