Um um
ou ou
alguns algum
governadores governador
deveriam dever
processar processar
o o
Bolsonaro bolsonaro
. .
Bolsonaro bolsonaro
mente mentar
que que
enviou enviar
muito muito
mais muito
dinheiro dinheiro
do de_o
que que
, ,
de de
fato fato
, ,
enviou enviar
aos a_o
estados estado
. .
Publicou publicar
nas em_o
redes rede
sociais social
valores valor
que que
englobam englobar
verbas verba
federais federal
carimbadas carimbar
da de_o
saúde saúde
e e
educação educação
, ,
bolsa bolsa
família família
, ,
auxílio auxílio
emergencial emergencial
e e
afins afim
