Lula lula
presidente presidente
é ser
o o
maior grande
retrocesso retrocesso
no em_o
combate combate
a o
corrupção corrupção
nas em_o
últimas último
décadas década
. .
Não não
esquecemos esquecer
os o
escândalos escândalo
de de
corrupção corrupção
, ,
mas mas
, ,
pelo por_o
bem bem
do de_o
Brasil brasil
, ,
desejo desejo
que que
o o
presidente presidente
eleito eleger
faça fazer
um um
bom bom
governo governo
, ,
não não
roube roubar
o o
povo povo
de de
novo novo
, ,
não não
acabe acabar
com com
a o
liberdade liberdade
e e
não não
quebre quebrar
o o
país país
. .
