Enquanto enquanto
a o
gente gente
fica ficar
ocupado ocupar
com com
as o
graves grave
ameaças ameaça
de de
Bolsonaro bolsonaro
à a_o
Folha folha
, ,
ao a_o
PT pt
e e
ao a_o
PSOL psol
, ,
ele ele
move mover
suas seu
peças peça
para para
aprovar aprovar
mudanças mudança
no em_o
estatuto estatuto
do de_o
desarmamento desarmamento
, ,
na em_o
previdência previdência
e e
nos em_o
impostos imposto
. .
Muita muito
calma calmo
nessa em_esse
hora hora
. .
