@Rconstantino twitterhandle
Incompetência incompetência
também também
é ser
coisa coisa
ruim ruim
e e
mata matar
. .
Um um
ladrão ladrão
competente competente
só só
te tu
rouba roubar
. .
E e
um um
ladrão ladrão
incompetente incompetente
, ,
ele ele
tanto tanto
te tu
rouba roubar
como como
te tu
mata matar
. .
Com com
os o
indícios indício
contar contar
os o
BOLSONARO bolsonaro
, ,
ele ele
pode poder
vir vir
a a
ser ser
este este
ladrão ladrão
incompetente incompetente
. .
Que que
vai ir
ser ser
bem bem
pior mau
mesmo mesmo
. .
