Se se
issso issso
não não
for ser
uma um
encenação encenação
teatral teatral
, ,
eu eu
fico ficar
abismado abismar
com com
esse esse
25 25
% %
de de
pessoas pessoa
que que
acreditam acreditar
e e
transformaram transformar
esse esse
sr sr
o o
tal tal
Jair jair
Bolsonaro bolsonaro
em em
um um
mito mito
salvador salvador
da de_o
pátria pátria
santificado santificar
e e
amado amar
quase quase
um um
Adolf adolf
Hitler hitler
! !
! !
! !
Realmente realmente
to to
com com
medo medo
do de_o
meu meu
. .
. .
. .
