é ser
foda foda
saber saber
que que
eu eu
preciso precisar
estudar estudar
e e
trabalhar trabalhar
pra pra
ganhar ganhar
dinheiro dinheiro
, ,
pagar pagar
as o
contas conta
e e
nao nao
morrer morrer
de de
fome fome
, ,
enquanto enquanto
a o
família família
bolsonaro bolsonaro
composta compor
apenas apenas
por por
neandertais neandertais
está estar
no em_o
poder poder
do de_o
meu meu
país país
e e
enchendo encher
o o
cu cu
de de
grana grana
pra pra
falar falar
merda merda
e e
fazer fazer
bosta bosta
