@VEJA twitterhandle_VERB_Fin_Sing
Cabra cabra_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
! !
Ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
político político_ADJ_Masc_Sing
desde desde_ADP
d d_NOUN_Masc_Sing
sempre sempre_ADV
aliás aliás_ADV
o o_DET_Masc_Sing
maior grande_ADJ_Masc_Sing
que que_SCONJ
esse esse_DET_Masc_Sing
país país_NOUN_Masc_Sing
já já_ADV
tem ter_AUX_Fin_Sing
falar falar_VERB_Inf
pq pq_NOUN_Fem_Sing
ele ele_PRON_Masc_Sing
sabe saber_VERB_Fin_Sing
que que_SCONJ
a o_DET_Fem_Sing
política política_NOUN_Fem_Sing
quando quando_ADV
bem bem_ADV
feita fazer_VERB_Part_Fem_Sing
é ser_AUX_Fin_Sing
belíssimo belo_ADJ_Masc_Sing
instrumento instrumento_NOUN_Masc_Sing
civilização civilização_NOUN_Fem_Sing
. .
Agora agora_ADV
não não_ADV
confundir confundir_VERB_Inf
, ,
gente gente_PRON_Fem_Sing
como como_ADV
; ;
Moro moro_PROPN_Sing
, ,
Deltan deltan_PROPN_Masc_Sing
, ,
Dalmares dalmares_PROPN_Masc_Sing
, ,
Mourão mourão_PROPN_Masc_Sing
, ,
A o_DET_Fem_Sing
. .
Doval doval_PROPN_Masc_Sing
, ,
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
e e_CCONJ
etc etc_ADV
. .
. .
. .
com com_ADP
politicos politicos_ADJ_Masc_Plur
