@dilmabr twitterhandle
postam postar
uma um
caricatura caricatura
de de
Bolsonaro bolsonaro
com com
orelha orelha
de de
asno asno
. .
E e
vêm vir
um um
monte monte
de de
filhos filho
das de_o
putas puto
que que
vestiram vestir
a o
corrupta corrupto
camisa camisa
da de_o
CBF cbf
dizer dizer
que que
é ser
' '
fotoshop fotoshop
' '
ou ou
que que
é ser
' '
fake fake
news news
' '
. .
Idiotas idiota
com com
2 2
neurônios neurônio
que que
não não
vê ver
o o
entreguismo entreguismo
lesa lesar
pátria pátria
. .
Bolsonaro bolsonaro
= =
FHC fhc
= =
Aécio aécio
= =
Alckmin alckmin
= =
Temer temer
