Que que_SCONJ
vergonha vergonha_NOUN_Fem_Sing
! !
A o_DET_Fem_Sing
mídia mídia_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
existe existir_VERB_Fin_Sing
pra pra_ADP
informar informar_VERB_Inf
desinforma desinforma_NOUN_Fem_Sing
e e_CCONJ
faz fazer_VERB_Fin_Sing
campanha campanha_NOUN_Fem_Sing
suja sujo_ADJ_Fem_Sing
. .
Imóveis imóvel_NOUN_Masc_Plur
adquiridos adquirir_VERB_Part_Masc_Plur
por por_ADP
toda todo_DET_Fem_Sing
família família_NOUN_Fem_Sing
ao a_o_ADP_DET_Masc_Sing
longo longo_NOUN
de de_ADP
30 30_NUM
anos ano_NOUN_Masc_Plur
. .
E e_CCONJ
pagos pagar_VERB_Part_Masc_Plur
em em_ADP
moeda moeda_NOUN_Fem_Sing
corrente corrente_ADJ_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
significa significar_VERB_Fin_Sing
reais real_NOUN_Masc_Plur
, ,
cruzados cruzado_NOUN_Masc_Plur
e e_CCONJ
todas todo_DET_Fem_Plur
as o_DET_Fem_Plur
demais demais_DET_Fem_Plur
moedas moeda_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
ultimas ultimar_VERB_Fin_Sing
décadas década_NOUN_Fem_Plur
. .
Isso isso_PRON_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
. .
