Ignorem ignorar_VERB_Fin_Plur
e e_CCONJ
parem parar_VERB_Fin_Plur
de de_ADP
rodar rodar_VERB_Inf
esse esse_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
dessa de_esse_ADP_DET_Fem_Sing
gente gente_NOUN_Fem_Sing
chamando chamar_VERB_Ger
Jesus jesus_PROPN_Masc_Sing
de de_ADP
bicha bicha_NOUN_Fem_Sing
e e_CCONJ
travesti travesti_NOUN_Masc_Sing
. .
Gente gente_NOUN_Fem_Sing
pobre pobre_ADJ_Fem_Sing
de de_ADP
espírito espírito_NOUN_Masc_Sing
, ,
mal-amada mal-amada
, ,
perdida perder_VERB_Part_Fem_Sing
e e_CCONJ
cafonérrima cafonérrima_ADJ_Fem_Sing
pedindo pedir_VERB_Ger
pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
Deus deus_PROPN_Masc_Sing
( (
! !
) )
atenção atenção_NOUN_Fem_Sing
. .
Deixem deixar_VERB_Fin_Plur
esses esse_DET_Masc_Plur
néscios néscio_NOUN_Masc_Plur
falando falar_VERB_Ger
sozinhos só_NOUN_Masc_Plur
. .
Ñ ñ_NOUN_Fem_Sing
são ser_AUX_Fin_Plur
nada nada_ADV
e e_CCONJ
ñ ñ_VERB_Fin_Sing
acrescentam acrescentar_VERB_Fin_Plur
absolutamente absolutamente_ADV
nada nada_PRON_Masc_Sing
pra para_o_ADP_DET_Fem_Sing
sociedade sociedade_NOUN_Fem_Sing
. .
