@Mirkos81265285 twitterhandle_NUM
@JaneQCarvalho twitterhandle_NOUN_Masc_Sing
@deltanmd twitterhandle_ADJ_Masc_Sing
Quem quem_PRON_Rel_Sing
elogia elogiar_VERB_Fin_Sing
Che che_PROPN_Masc_Sing
Guevara guevara_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
conservador conservador_ADJ_Masc_Sing
e e_CCONJ
de de_ADP
direita direita_NOUN_Fem_Sing
ou ou_CCONJ
é ser_AUX_Fin_Sing
comunista comunista_ADJ_Masc_Sing
? ?
Gosta gostar_VERB_Fin_Sing
de de_ADP
comunistas comunista_NOUN_Plur
? ?
No em_o_ADP_DET_Masc_Sing
final final_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
matéria matéria_NOUN_Fem_Sing
tem ter_VERB_Fin_Sing
um um_DET_Masc_Sing
video video_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Aras aras_PROPN_Masc_Sing
elogiando elogiar_VERB_Part
Guevara guevara_PROPN_Masc_Sing
. .
Temos ter_VERB_Fin_Plur
um um_DET_Masc_Sing
comunista comunista_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
PGR pgr_PROPN_Fem_Sing
. .
