Lula lula_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
preso prender_VERB_Part_Masc_Sing
por por_ADP
insinuarem insinuarem_VERB_Fin_Plur
que que_SCONJ
um um_DET_Masc_Sing
triplex triplex_ADJ_Masc_Sing
e e_CCONJ
um um_DET_Masc_Sing
sítio sítio_NOUN_Masc_Sing
fosse ser_AUX_Fin_Sing
dele de_ele_ADP_PRON_Masc_Sing
, ,
a o_DET_Fem_Sing
bomba bomba_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
semana semana_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
que que_SCONJ
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
comprou comprar_VERB_Fin_Sing
pelo por_o_ADP_DET_Masc_Sing
menos menos_NOUN_Masc_Sing
104 104_NUM
imóveis imóvel_NOUN_Masc_Plur
nos em_o_ADP_DET_Masc_Plur
últimos último_ADJ_Masc_Plur
anos ano_NOUN_Masc_Plur
pagando pagar_VERB_Ger
a o_DET_Fem_Sing
metade metade_NOUN_Fem_Sing
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
para para_ADP
não não_ADV
precisar precisar_VERB_Fin_Sing
notificar notificar_VERB_Inf
o o_DET_Masc_Sing
valor valor_NOUN_Masc_Sing
total total_ADJ_Masc_Sing
aos a_o_ADP_DET_Masc_Plur
registros registro_NOUN_Masc_Plur
de de_ADP
imóveis imóvel_NOUN_Masc_Plur
, ,
terão ter_VERB_Fin_Plur
teu teu_DET_Masc_Sing
voto voto_NOUN_Masc_Sing
? ?
