RT rt
@Roberto31654571 twitterhandle
: :
@kimpaim twitterhandle
Bolsonaro bolsonaro
Reeleito reeleito
presidente presidente
da de_o
República república
Deus deus
ti tu
proteja proteger
folded_hands_e folded_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
keycap_2_e keycap_2_e
keycap_2_e keycap_2_e
flexed_biceps_e flexed_biceps_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
