Diga dizer
adeus adeus
às a_o
compras compra
parceladas parcelar
no em_o
cartão cartão
de de
crédito crédito
sem sem
juros juro
! !
Governo governo
Bolsonaro bolsonaro
quer querer
acabar acabar
com com
este este
tipo tipo
de de
operação operação
. .
E e
o o
juro juro
real real
que que
chega chegar
ao a_o
povo povo
subindo subir
sem sem
parar parar
. .
Só só
este este
ano ano
, ,
os o
juros juro
do de_o
rotativo rotativo
já já
alcançaram alcançar
31 31
, ,
8 8
pontos ponto
em em
apenas apenas
10 10
MESES mês
. .
