Inúmeros inúmero
colegas colega
que que
se se
dizem dizer
apoiadores apoiador
de de
Moro moro
, ,
que que
desejam desejar
que que
seja ser
eleito eleger
Presidente presidente
da de_o
República república
em em
2022 @card@
, ,
postam postar
somente somente
matérias matéria
sobre sobre
Lula lula
, ,
o o
ladrão ladrão
, ,
que que
perdeu perder
um um
dedo dedo
de de
tanta tanto
roubalheira roubalheira
, ,
e e
Bolsonaro bolsonaro
, ,
o o
psicopata psicopata
, ,
genocida genocida
. .
Precisamos precisar
lotar lotar
as o
redes rede
sociais social
com com
@SF_Moro twitterhandle
