Levantamento levantamento_NOUN_Masc_Sing
feito fazer_VERB_Part_Masc_Sing
pelos por_o_ADP_DET_Masc_Plur
colunistas colunista_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
UOL uol_NOUN_Masc_Sing
Thiago thiago_PROPN_Masc_Sing
Herdy herdy_PROPN_Sing
e e_CCONJ
Juliana juliana_PROPN_Fem_Sing
Dal dal_PROPN_Sing
Piva piva_PROPN_Masc_Sing
mostra mostrar_VERB_Fin_Sing
que que_SCONJ
quase quase_ADV
metade metade_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
patrimônio patrimônio_NOUN_Masc_Sing
em em_ADP
imóveis imóvel_NOUN_Masc_Plur
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
construída construir_VERB_Part_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
últimas último_ADJ_Fem_Plur
três três_NUM
décadas década_NOUN_Fem_Plur
com com_ADP
uso uso_NOUN_Masc_Sing
de de_ADP
dinheiro dinheiro_NOUN_Masc_Sing
em em_ADP
espécie espécie_NOUN_Fem_Sing
. .
