Pelo por_o_ADP_DET_Masc_Sing
e-mail e-mail
, ,
a o_DET_Fem_Sing
assessoria assessoria_NOUN_Fem_Sing
informa informar_VERB_Fin_Sing
que que_SCONJ
as o_DET_Fem_Plur
ações ação_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
Taurus taurus_PROPN_Fem_Sing
foram ser_AUX_Fin_Plur
as o_DET_Fem_Plur
que que_PRON_Rel_Fem_Plur
mais mais_ADV
subiram subir_VERB_Fin_Plur
em em_ADP
2018 @card@
. .
A o_DET_Fem_Sing
empresa empresa_NOUN_Fem_Sing
BR br_PROPN_Fem_Plur
é ser_AUX_Fin_Sing
uma um_NUM
das de_o_ADP_DET_Fem_Plur
maiores grande_ADJ_Fem_Plur
fabricantes fabricante_NOUN_Fem_Plur
de de_ADP
pistolas pistola_NOUN_Fem_Plur
e e_CCONJ
revólveres revólver_NOUN_Masc_Plur
( (
e e_CCONJ
a o_DET_Fem_Sing
única único_ADJ_Fem_Sing
a a_ADP
fornecer fornecer_VERB_Inf
armamento armamento_NOUN_Masc_Sing
para para_ADP
a o_DET_Fem_Sing
PM pm_PROPN_Fem_Sing
) )
. .
Ontem ontem_ADV
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
afirmou afirmar_VERB_Fin_Sing
que que_SCONJ
vai ir_AUX_Fin_Sing
flexibilizar flexibilizar_VERB_Inf
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
por por_ADP
decreto decreto_NOUN_Masc_Sing
. .
