@magnesio twitterhandle
Fez fazer
bem bem
de de
se se
livrar livrar
desse de_esse
peso peso
. .
Não não
sei saber
como como
era ser
sua seu
relação relação
com com
ele ele
, ,
mas mas
acho achar
triste triste
quando quando
isso isso
ocorre ocorrer
na em_o
família família
. .
Meu meu
irmão irmão
votou votar
no em_o
Covas covas
, ,
mas mas
mantemos mantar
uma um
relação relação
de de
respeito respeito
e e
ele ele
não não
é ser
nem nem
louco louco
de de
mandar mandar
figurinhas figura
do de_o
Bolsonaro bolsonaro
porque porque
sabe saber
que que
eu eu
não não
me eu
calo calar
. .
