ESPALHE espalhar
A o
VERDADE verdade
Bolsonaro bolsonaro
acabou acabar
com com
o o
Bolsa bolsa
Família família
e e
abandonou abandonar
os o
brasileiros brasileiro
mais mais
pobres pobre
passando passar
fome fome
. .
3 3
, ,
2 2
milhões milhão
de de
famílias família
em em
situação situação
de de
pobreza pobreza
ou ou
extrema extremo
pobreza pobreza
estão estar
inscritas inscrever
no em_o
Cadastro cadastro
Único único
sem sem
receber receber
nenhum nenhum
auxílio auxílio
, ,
mostra mostrar
reportagem reportagem
do de_o
UOL uol
. .
